id,Etot
673 , -288.836
674 , -276.965
675 , -276.969
676 , -276.981
677 , -279.823
678 , -283.911
679 , -288.504
680 , -267.94
681 , -288.466
682 , -288.832
683 , -267.977
684 , -268.011
685 , -299.822
686 , -283.881
687 , -279.785
688 , -279.802
689 , -283.902
690 , -267.914
691 , -267.992
692 , -267.958
693 , -267.923
694 , -299.88
695 , -267.987
696 , -279.833
697 , -300.296
698 , -288.81
699 , -304.458
700 , -324.934
701 , -268.017
702 , -276.952
703 , -267.95
704 , -267.974
705 , -276.996
706 , -308.861
707 , -267.968
708 , -267.955
709 , -299.888
710 , -267.984
711 , -276.935
712 , -267.984
713 , -299.878
714 , -279.786
715 , -267.946
716 , -267.963
717 , -299.878
718 , -283.909
719 , -267.997
720 , -288.48
721 , -295.747
722 , -279.823
723 , -291.656
724 , -267.969
725 , -277.022
726 , -268.009
727 , -288.5
728 , -267.96
729 , -283.974
730 , -276.979
731 , -279.805
732 , -267.971
733 , -295.742
734 , -267.967
735 , -283.969
736 , -268
737 , -283.884
738 , -279.819
739 , -267.973
740 , -267.942
741 , -279.821
742 , -276.991
743 , -304.434
744 , -283.942
745 , -276.956
746 , -267.978
747 , -279.811
748 , -295.703
749 , -283.897
750 , -300.315
751 , -279.848
752 , -279.846
753 , -267.91
754 , -295.813
755 , -276.999
756 , -283.923
757 , -268.008
758 , -279.74
759 , -276.998
760 , -295.774
761 , -299.837
762 , -304.38
763 , -279.806
764 , -283.84
765 , -279.804
766 , -288.455
767 , -279.814
768 , -267.95
769 , -276.965
770 , -267.968
771 , -267.891
772 , -279.808
773 , -288.478
774 , -267.962
775 , -292.942
776 , -299.859
777 , -268.004
778 , -268.033
779 , -277.014
780 , -267.956
781 , -267.993
782 , -288.423
783 , -288.502
784 , -276.928
785 , -283.877
786 , -276.989
787 , -268
788 , -279.81
789 , -292.94
790 , -291.551
791 , -276.975
792 , -267.934
793 , -267.926
794 , -292.954
795 , -279.793
796 , -295.743
797 , -304.392
798 , -295.796
799 , -295.772
800 , -315.86
801 , -267.971
802 , -267.956
803 , -267.918
804 , -291.632
805 , -283.869
806 , -279.823
807 , -268.007
808 , -279.821
809 , -279.865
810 , -267.951
811 , -267.967
812 , -267.992
813 , -279.778
814 , -288.819
815 , -279.774
816 , -267.933
817 , -267.93
818 , -277.019
819 , -283.836
820 , -288.482
821 , -276.964
822 , -295.75
823 , -279.786
824 , -288.492
825 , -267.976
826 , -283.925
827 , -276.945
828 , -267.967
829 , -299.857
830 , -297.84
831 , -283.932
832 , -288.454
833 , -288.49
834 , -276.96
835 , -283.862
836 , -267.987
837 , -267.975
838 , -283.938
839 , -276.967
840 , -288.439
841 , -279.835
842 , -267.956
843 , -279.786
844 , -283.898
845 , -279.804
846 , -267.968
847 , -267.944
848 , -283.899
849 , -279.816
850 , -267.935
851 , -267.954
852 , -277.037
853 , -288.52
854 , -288.501
855 , -279.824
856 , -283.891
857 , -268.017
858 , -288.807
859 , -267.97
860 , -283.899
861 , -267.938
862 , -279.726
863 , -279.778
864 , -300.285
865 , -295.758
866 , -283.91
867 , -295.75
868 , -300.328
869 , -267.931
870 , -267.93
871 , -276.982
872 , -267.941
873 , -267.976
874 , -267.958
875 , -283.824
876 , -295.733
877 , -291.611
878 , -276.996
879 , -267.976
880 , -267.906
881 , -279.813
882 , -295.771
883 , -279.834
884 , -268.005
885 , -288.844
886 , -295.758
887 , -267.911
888 , -291.627
889 , -279.811
890 , -267.942
891 , -267.969
892 , -286.009
893 , -279.805
894 , -276.912
895 , -277.023
896 , -288.448
897 , -277.003
898 , -267.904
899 , -279.786
900 , -267.963
901 , -267.971
902 , -288.46
903 , -288.792
904 , -299.884
905 , -304.465
906 , -283.937
907 , -283.943
908 , -267.946
909 , -288.496
910 , -267.971
911 , -292.97
912 , -283.884
913 , -268.001
914 , -267.958
915 , -268.021
916 , -279.797
917 , -267.95
918 , -267.91
919 , -283.928
920 , -283.894
921 , -267.964
922 , -279.807
923 , -283.913
924 , -267.966
925 , -267.913
926 , -267.999
927 , -295.72
928 , -267.973
929 , -267.979
930 , -288.812
931 , -267.967
932 , -267.927
933 , -285.988
934 , -283.901
935 , -283.9
936 , -316.304
937 , -288.453
938 , -267.948
939 , -279.795
940 , -283.914
941 , -291.61
942 , -267.992
943 , -279.823
944 , -268.008
945 , -279.818
946 , -304.406
947 , -304.424
948 , -267.987
949 , -300.305
950 , -267.908
951 , -267.951
952 , -279.822
953 , -267.99
954 , -283.911
955 , -267.938
956 , -267.997
957 , -295.715
958 , -288.455
959 , -295.729
960 , -283.954
961 , -267.932
962 , -279.78
963 , -283.936
964 , -279.716
965 , -267.98
966 , -283.919
967 , -267.914
968 , -283.918
969 , -297.87
970 , -276.948
971 , -268.004
972 , -295.747
973 , -279.828
974 , -267.997
975 , -295.733
976 , -267.949
977 , -276.968
978 , -295.763
979 , -304.795
980 , -267.925
981 , -279.812
982 , -283.83
983 , -267.935
984 , -283.928
985 , -304.41
986 , -267.966
987 , -283.93
988 , -276.987
989 , -267.971
990 , -276.972
991 , -279.842
992 , -295.736
993 , -267.933
994 , -295.714
995 , -267.996
996 , -267.927
997 , -283.849
998 , -279.839
999 , -276.949
